Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Units,[Age],[Location],[Reporting Type],[Sex]
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","8","Albania","2011","0.34722222","2011","Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.","","CA","PERCENT","65+","ALLAREA","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","8","Albania","2011","0.55555556","2011","Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.","","CA","PERCENT","65+","URBAN","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","8","Albania","2011","0.27777778","2011","Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.","","CA","PERCENT","65+","RURAL","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","8","Albania","2011","0.41666667","2011","Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.","","CA","PERCENT","10+","URBAN","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","8","Albania","2011","1.59722222","2011","Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.","","CA","PERCENT","65+","URBAN","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","8","Albania","2011","1.11111111","2011","Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.","","CA","PERCENT","65+","RURAL","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","8","Albania","2011","2.98611111","2011","Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.","","CA","PERCENT","10+","ALLAREA","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","8","Albania","2011","3.33333333","2011","Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.","","CA","PERCENT","10+","RURAL","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","8","Albania","2011","2.70833333","2011","Calculated by UNSD based on available country data from the Albanian time use survey (ATUS) 2010-2011 to apply ICATUS.","","CA","PERCENT","10+","URBAN","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","222","El Salvador","2010","3.58396992","2010","Data provided by the Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of special tabulations from Data provided by the Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of special tabulations from time-use survey.","Work for other households has been included under ""unpaid care work"" as it might include other family members.","CA","PERCENT","15+","ALLAREA","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","222","El Salvador","2010","0.90863192","2010","Data provided by the Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of special tabulations from Data provided by the Economic Commission for Latin America and the Caribbean (ECLAC), on the basis of special tabulations from time-use survey.","Work for other households has been included under ""unpaid care work"" as it might include other family members.","CA","PERCENT","15+","ALLAREA","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","231","Ethiopia","2013","3.26388889","2013","Calculated by UNSD based on available country data from the Ethiopian Time Use Survey to apply ICATUS.","","CA","PERCENT","10+","ALLAREA","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","231","Ethiopia","2013","0.55555556","2013","Calculated by UNSD based on available country data from the Ethiopian Time Use Survey to apply ICATUS.","","CA","PERCENT","10+","ALLAREA","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","233","Estonia","2000","3.61111111","2000","Calculated by UNSD based on available country data from the Time use at different stages of life to apply ICATUS.","","CA","PERCENT","15-24","ALLAREA","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","233","Estonia","2000","2.15277778","2000","Calculated by UNSD based on available country data from the Time use at different stages of life to apply ICATUS.","","CA","PERCENT","10+","ALLAREA","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","233","Estonia","2000","0.27777778","2000","Calculated by UNSD based on available country data from the Time use at different stages of life to apply ICATUS.","","CA","PERCENT","15-24","ALLAREA","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","233","Estonia","2000","1.45833333","2000","Calculated by UNSD based on available country data from the Time use at different stages of life to apply ICATUS.","","CA","PERCENT","25-44","ALLAREA","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","233","Estonia","2000","3.95833333","2000","Calculated by UNSD based on available country data from the Time use at different stages of life to apply ICATUS.","","CA","PERCENT","25-44","ALLAREA","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","233","Estonia","2000","0.27777778","2000","Calculated by UNSD based on available country data from the Time use at different stages of life to apply ICATUS.","","CA","PERCENT","65+","ALLAREA","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","233","Estonia","2000","0.55555556","2000","Calculated by UNSD based on available country data from the Time use at different stages of life to apply ICATUS.","","CA","PERCENT","10+","ALLAREA","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","233","Estonia","2000","0.20833333","2000","Calculated by UNSD based on available country data from the Time use at different stages of life to apply ICATUS.","","CA","PERCENT","65+","ALLAREA","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","233","Estonia","2000","0.69444444","2000","Calculated by UNSD based on available country data from the Time use at different stages of life to apply ICATUS.","","CA","PERCENT","45-64","ALLAREA","G","FEMALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","233","Estonia","2000","0.20833333","2000","Calculated by UNSD based on available country data from the Time use at different stages of life to apply ICATUS.","","CA","PERCENT","45-64","ALLAREA","G","MALE"
"5","5.4","5.4.1","SL_DOM_TSPDCW","Proportion of time spent on unpaid care work, by sex, age and location (%)","233","Estonia","2010","5.55555556","2010","Calculated by UNSD based on available country data from the Time Use Survey to apply ICATUS.","","CA","PERCENT","25-44","ALLAREA","G","FEMALE"
