Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Units,[Age],[Reporting Type]
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","1","World","2018","8131","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","4","Afghanistan","2018","37","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","5","South America","2018","413","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","8","Albania","2018","44","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","9","Oceania","2018","211","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","11","Western Africa","2018","208","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","12","Algeria","2018","18","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","13","Central America","2018","109","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","14","Eastern Africa","2018","339","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","15","Northern Africa","2018","190","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","17","Middle Africa","2018","128","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","18","Southern Africa","2018","146","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","21","Northern America","2018","164","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","24","Angola","2018","18","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","28","Antigua and Barbuda","2018","8","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","29","Caribbean","2018","119","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","30","Eastern Asia","2018","769","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","31","Azerbaijan","2018","32","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","32","Argentina","2018","24","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","34","Southern Asia","2018","560","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
"2","2.5","2.5.1","ER_GRF_ANIMKPT","Number of local breeds kept in the country","35","South-Eastern Asia","2018","371","2018","DAD-IS 2018 http://www.fao.org/dad-is/","""NA"" corresponds to absence of local breeds. ","C","NUMBER","","G"
